Problem Number,Title,Slug,Difficulty
"2144","Minimum Cost of Buying Candies With Discount","minimum-cost-of-buying-candies-with-discount","Easy"
"2088","Count Fertile Pyramids in a Land","count-fertile-pyramids-in-a-land","Hard"
"1878","Get Biggest Three Rhombus Sums in a Grid","get-biggest-three-rhombus-sums-in-a-grid","Medium"
"1735","Count Ways to Make Array With Product","count-ways-to-make-array-with-product","Hard"
"1522","Diameter of N-Ary Tree","diameter-of-n-ary-tree","Medium"
"1516","Move Sub-Tree of N-Ary Tree","move-sub-tree-of-n-ary-tree","Hard"
"1344","Angle Between Hands of a Clock","angle-between-hands-of-a-clock","Medium"
"573","Squirrel Simulation","squirrel-simulation","Medium"
"468","Validate IP Address","validate-ip-address","Medium"
